:START_ID,:END_ID,:TYPE
P68871,Q9ULK0,INTERACTS_WITH
P68871,P69905,INTERACTS_WITH
P68871,Q6B0K9,INTERACTS_WITH
P68871,P09105,INTERACTS_WITH
P68871,P02008,INTERACTS_WITH
